i,Qual,tx,ty,o1x,o1y,o2x,o2y,o3x,o3y,px,py,pz,qx,qy,qz,qw
249,0,-0.169972,-7.35549,3.02993,-20.004,2.9833,-20.1439,-1.08457,-32.3458,18.4245,45.8166,49.5,-0.00666076,0.973839,-0.227026,-0.00720976
250,8,-0.169972,-7.35549,1.70961,-18.0895,1.66918,-18.2215,-1.83292,-29.6584,18.4245,45.8166,49.5,-0.00666076,0.973839,-0.227026,-0.00720976
251,4,-1.12262,-5.59568,0.966276,-16.8196,0.930398,-16.9464,-2.16408,-27.8824,18.3997,45.6275,49.506,-0.00566683,0.972041,-0.234452,-0.0116682
252,4,-0.847877,-4.3746,1.35776,-17.4893,1.31947,-17.6188,-1.99009,-28.819,18.3915,45.5324,49.4849,-0.00513081,0.970737,-0.239886,-0.00993477
253,8,-0.847877,-4.3746,0.416996,-15.8765,0.384537,-15.9994,-2.40661,-26.5636,18.3915,45.5324,49.4849,-0.00513081,0.970737,-0.239886,-0.00993477
254,5,-1.82603,-2.76392,-2.59521,-11.5273,-2.61298,-11.6312,-4.12264,-20.4582,18.3521,45.3327,49.4721,-0.00276189,0.969028,-0.246538,-0.0140385
255,8,-2.21298,-2.20037,-2.59521,-11.5273,-2.61298,-11.6312,-4.12264,-20.4582,18.3328,45.2285,49.5192,-0.0025222,0.968509,-0.24846,-0.0158328
256,5,-2.51858,-1.17412,-3.70763,-10.4866,-3.72295,-10.5857,-5.02188,-18.9783,18.3093,45.1479,49.5435,-0.000628907,0.967363,-0.252843,-0.0166805
257,8,-2.83207,-0.997633,-3.70763,-10.4866,-3.72295,-10.5857,-5.02188,-18.9783,18.2893,45.0147,49.4516,-0.000392772,0.967251,-0.253173,-0.0181412
258,0,-2.86784,0.0213038,-3.70763,-10.4866,-3.72295,-10.5857,-5.02188,-18.9783,18.2545,44.9596,49.6002,0.0012644,0.966193,-0.25722,-0.0175278
259,0,-3.80033,-1.07373,-3.70763,-10.4866,-3.72295,-10.5857,-5.02188,-18.9783,18.2294,44.9058,49.5803,0.0015181,0.967578,-0.251591,-0.0221967
260,0,-14.6745,9.59397,-7.11571,-5.52666,-3.72295,-10.5857,-6.94508,-12.0169,16.6384,43.2962,49.729,0.0123007,0.954393,-0.291615,-0.0628022
261,8,-5.38274,2.70743,-7.11571,-5.52666,-7.11371,-5.60297,-6.94508,-12.0169,18.1277,44.5349,49.4682,0.00498171,0.96299,-0.267952,-0.0287503
262,8,-23.2342,16.7342,-22.0635,14.6569,-21.9947,14.6766,-16.1176,16.3635,16.3918,43.0703,49.7634,0.020503,0.941082,-0.322087,-0.101017
263,0,-25.5358,16.5552,-22.0635,14.6569,-21.9947,14.6766,-16.1176,16.3635,16.0756,43.0832,49.8744,0.0246992,0.940764,-0.320162,-0.108855
264,0,-30.3993,17.2169,-22.0635,14.6569,-21.9947,14.6766,-16.1176,16.3635,15.5844,43.0673,49.7994,0.0318321,0.937836,-0.3216,-0.126589
265,5,-37.5141,17.0995,-26.4284,3.71337,-26.4315,3.68879,-26.7007,1.58141,14.8332,43.2065,49.7221,0.0428617,0.934638,-0.31901,-0.151154
