id,quality,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ellipseX,ellipseY
127,0,42807,5.0135,13.0654,7.1748,13.3705,6.71776,12.6583,6.18182,21.3555,19.0135,27.2625,66.963,0.00107134,0.996362,-0.0842292,0.0129082,306.347,270.161
128,5,42850,3.52043,14.0709,2.5798,13.9412,2.00574,13.1855,1.29624,22.0345,18.9849,27.2568,66.9483,0.000555003,0.996,-0.0891736,0.00558904,313.25,269.302
129,0,42873,1.98979,15.0858,2.5798,13.9412,2.00574,13.1855,1.29624,22.0345,18.9315,27.2462,66.9208,3.86247e-05,0.99556,-0.0941109,-0.00173053,313.25,269.302
130,5,42890,-0.112787,13.841,1.48028,13.7137,0.891646,12.9864,0.121469,21.8304,18.8524,27.2987,66.8047,9.52929e-05,0.99602,-0.0883604,-0.0117258,314.892,269.374
131,0,42939,-2.13799,12.6567,1.48028,13.7137,0.891646,12.9864,0.121469,21.8304,18.825,27.3169,66.7644,0.000151948,0.996346,-0.082598,-0.0217195,314.892,269.374
132,5,42973,-4.71799,12.1731,-2.79083,12.7985,-3.41106,12.1766,-4.44244,21.0057,18.7536,27.357,66.6892,-0.00144919,0.996169,-0.0804867,-0.034155,321.374,269.885
133,0,43023,-7.26675,11.7041,-2.79083,12.7985,-3.41106,12.1766,-4.44244,21.0057,18.705,27.3843,66.6381,-0.00305009,0.995831,-0.0783624,-0.0465849,321.374,269.885
134,5,43044,-7.23044,10.4821,-4.57406,11.8868,-5.18102,11.3528,-6.35625,20.1281,18.6778,27.3605,66.8828,-0.000762137,0.996337,-0.0719675,-0.0461918,324.098,270.541
135,5,43107,-9.26132,10.0774,-7.24885,10.3484,-7.81519,9.94473,-9.22957,18.6395,18.6381,27.4261,66.6977,-0.00133019,0.995934,-0.0704264,-0.0561558,328.251,271.754
136,5,43107,-9.25442,8.78883,-7.24885,10.3484,-7.81519,9.94473,-9.22957,18.6395,18.586,27.4484,66.7992,0.000957935,0.996389,-0.0640275,-0.05576,328.251,271.754
