Right Eye Position (x,y,z),Right Eye Forward Vector (x,y,z),Head Position (x,y,z),Head Rotation axis (x,y,z),Head Rotation angle ,Absolute intersection (x,y,z) ,Relative intersection (x,y,z) ,Interacted Object ID,timeStamp in ms
3.6694,-1.91746,-2.22919,0.512278,-0.579208,0.634105,33.3531,28.8268,70.5574,-0.0623849,0.989826,0.127881,145.921,22.6905,12.79,0,925.268,558.452,0,0,7367
3.6694,-1.91746,-2.22919,0.512278,-0.579208,0.634105,33.3531,28.8268,70.5574,-0.0623849,0.989826,0.127881,145.921,22.6905,12.79,0,925.268,558.452,0,0,7433
3.6694,-1.91746,-2.22919,0.512278,-0.579208,0.634105,33.3531,28.8268,70.5574,-0.0623849,0.989826,0.127881,145.921,22.6905,12.79,0,925.268,558.452,0,0,7500
3.6694,-1.91746,-2.22919,0.512278,-0.579208,0.634105,33.3531,28.8268,70.5574,-0.0623849,0.989826,0.127881,145.921,22.6905,12.79,0,925.268,558.452,0,0,7550
3.6694,-1.91746,-2.22919,0.512278,-0.579208,0.634105,33.3531,28.8268,70.5574,-0.0623849,0.989826,0.127881,145.921,22.6905,12.79,0,925.268,558.452,0,0,7616
3.6694,-1.91746,-2.22919,0.512278,-0.579208,0.634105,33.3531,28.8268,70.5574,-0.0623849,0.989826,0.127881,145.921,22.6905,12.79,0,925.268,558.452,0,0,7683
3.6694,-1.91746,-2.22919,0.512278,-0.579208,0.634105,33.3531,28.8268,70.5574,-0.0623849,0.989826,0.127881,145.921,22.6905,12.79,0,925.268,558.452,0,0,7750
3.6694,-1.91746,-2.22919,0.512278,-0.579208,0.634105,33.3531,28.8268,70.5574,-0.0623849,0.989826,0.127881,145.921,22.6905,12.79,0,925.268,558.452,0,0,7799
3.6694,-1.91746,-2.22919,0.512278,-0.579208,0.634105,33.3531,28.8268,70.5574,-0.0623849,0.989826,0.127881,145.921,22.6905,12.79,0,925.268,558.452,0,0,7866
3.6694,-1.91746,-2.22919,0.512278,-0.579208,0.634105,33.3531,28.8268,70.5574,-0.0623849,0.989826,0.127881,145.921,22.6905,12.79,0,925.268,558.452,0,0,7934
2.91684,-1.48596,-2.13652,-0.627917,0.0747539,0.774682,21.0687,27.3007,67.996,0.13772,0.989282,0.0485323,211.931,29.7242,23.1509,0,1212.09,135.958,0,0,8000
2.90407,-1.50028,-2.14599,-0.647236,0.0531547,0.760435,20.9767,27.2438,67.6552,0.135841,0.988658,0.0640592,211.735,31.2746,23.1577,0,1275.31,135.679,0,0,8050
2.89989,-1.5123,-2.14898,-0.653521,0.0351448,0.756092,20.7403,26.9157,67.9629,0.132143,0.990262,0.0438185,211.658,31.2214,19.2494,0,1273.14,295.05,0,0,8117
2.89181,-1.46969,-2.16014,-0.665697,0.100025,0.739488,20.413,25.795,67.5928,0.120914,0.992651,-0.00485657,211.984,32.5732,17.1359,0,1328.26,381.238,0,0,8183
2.87627,-1.42797,-2.18247,-0.689171,0.163491,0.705914,20.9077,24.7721,66.8152,0.0969334,0.994272,-0.0450148,208.286,40.95,16.4463,0,1669.85,409.357,0,0,8250
2.91363,-1.42546,-2.14933,-0.632532,0.167407,0.756226,21.4835,24.2545,66.6752,0.0741922,0.995547,-0.0581512,204.358,41.1358,16.2797,0,1677.43,416.148,0,0,8300
2.94411,-1.40188,-2.13094,-0.586331,0.203212,0.784169,22.5298,23.8897,66.2109,0.0503861,0.996529,-0.0662744,199.152,44.8958,18.9082,0,1830.75,308.966,0,0,8367
2.99347,-1.40059,-2.09782,-0.511515,0.205226,0.834407,23.2834,23.9179,65.938,0.043447,0.996701,-0.0685567,195.388,43.7435,19.2494,0,1783.76,295.052,0,0,8433
2.99347,-1.40059,-2.09782,-0.511515,0.205226,0.834407,23.2834,23.9179,65.938,0.043447,0.996701,-0.0685567,195.388,43.7435,19.2494,0,1783.76,295.052,0,0,8500
2.99347,-1.40059,-2.09782,-0.511515,0.205226,0.834407,23.2834,23.9179,65.938,0.043447,0.996701,-0.0685567,195.388,43.7435,19.2494,0,1783.76,295.052,0,0,8550
