Right Eye Position (x,y,z),Right Eye Forward Vector (x,y,z),Head Position (x,y,z),Head Rotation axis (x,y,z),Head Rotation angle ,Relative intersection (x,y,z) ,Absolute intersection (x,y,z) ,Interacted Object ID,timeStamp in ms
3.29252,-1.84169,-2.1755,0.0284633,-0.0433498,0.998654,27.17,22.0497,70.203,0.0290311,0.999411,0.0183003,168.588,1717.75,299.627,0,42.1247,19.1372,0,0,16633
3.28266,-1.87682,-2.17775,0.0135144,-0.0965736,0.995234,27.0747,22.0668,70.1642,0.0283474,0.999576,0.00666184,169.078,1723.13,530.477,0,42.2567,13.4761,0,0,16682
3.27975,-1.87678,-2.17772,0.00910682,-0.0965089,0.99529,27.0144,22.0919,70.1588,0.0288171,0.999357,0.0213345,168.966,1741.63,445.258,0,42.7102,15.5659,0,0,16699
3.27601,-1.87828,-2.17784,0.00343567,-0.0987841,0.995103,26.891,22.129,70.2976,0.0276382,0.999463,0.017604,170.188,1691.73,470.348,0,41.4866,14.9506,0,0,16749
3.27074,-1.88056,-2.17807,-0.00453412,-0.102233,0.99475,26.819,22.1722,70.331,0.029223,0.999334,0.0218448,170.319,1705.65,457.06,0,41.828,15.2765,0,0,16766
3.26814,-1.87935,-2.17797,-0.00847946,-0.100403,0.994911,26.7482,22.2299,70.3366,0.0290238,0.9995,0.0125846,170.261,1717.31,504.065,0,42.1139,14.1237,0,0,16816
3.26458,-1.88079,-2.17815,-0.013875,-0.102585,0.994627,26.6237,22.3002,70.3806,0.0278789,0.999461,0.0173091,171.134,1684.98,478.642,0,41.321,14.7472,0,0,16832
3.31277,-1.87774,-2.17894,0.0591417,-0.0979673,0.993431,26.53,22.317,70.4399,0.0279433,0.999499,0.0148517,172.009,1414.5,461.892,0,34.6879,15.158,0,0,16882
3.31277,-1.87774,-2.17894,0.0591417,-0.0979673,0.993431,26.53,22.317,70.4399,0.0279433,0.999499,0.0148517,172.009,1414.5,461.892,0,34.6879,15.158,0,0,16882
3.44746,-1.87923,-2.20133,0.26322,-0.100229,0.959515,26.2591,22.3132,70.4393,0.0274792,0.999289,0.025812,173.739,692.95,373.198,0,16.9933,17.333,0,0,16932
3.44746,-1.87923,-2.20133,0.26322,-0.100229,0.959515,26.2591,22.3132,70.4393,0.0274792,0.999289,0.025812,173.739,692.95,373.198,0,16.9933,17.333,0,0,16949
3.44094,-1.87265,-2.19893,0.25334,-0.090262,0.963157,26.0909,22.2754,70.531,0.02757,0.99941,0.0204633,173.944,707.193,375.911,0,17.3426,17.2665,0,0,16999
3.44094,-1.87265,-2.19893,0.25334,-0.090262,0.963157,26.0909,22.2754,70.531,0.02757,0.99941,0.0204633,173.944,707.193,375.911,0,17.3426,17.2665,0,0,17015
3.42679,-1.8622,-2.19448,0.231891,-0.0744297,0.96989,25.9625,22.2971,70.4534,0.0252377,0.999473,0.0204357,175.021,719.616,330.707,0,17.6473,18.375,0,0,17065
3.42679,-1.8622,-2.19448,0.231891,-0.0744297,0.96989,25.9625,22.2971,70.4534,0.0252377,0.999473,0.0204357,175.021,719.616,330.707,0,17.6473,18.375,0,0,17083
